id,product_id,created_at,sold_at,cost,product_category,product_name,product_brand,product_retail_price,product_department,product_sku,product_distribution_center_id
955,10715,2022-09-01 04:23:34 UTC,2022-10-02 12:34:34 UTC,11.676689864762768,Intimates,ExOfficio Women's Give-N-Go Bikini Briefs,ExOfficio,21.989999771118164,Women,3F756C61A520507428E333D99B58C169,2
420604,3846,2022-10-23 15:14:50 UTC,2022-12-19 00:59:50 UTC,12.805240355724692,Dresses,Roxy Juniors Easy Going Halter Dress,Roxy,31.540000915527344,Women,6236C78E73F52110AE39E588BA88DE0B,2
291451,21090,2019-12-01 16:07:07 UTC,2020-01-23 05:00:07 UTC,35.7610406107251,Jeans,Kenneth Cole Men's Bootcut Jean,Kenneth Cole,67.22000122070312,Men,30B6B8F7A8E3DBA528FE76DEC93D773A,6
366497,3373,2023-03-04 18:44:00 UTC,,8.455769874289185,Dresses,Curve Appeal Cowl Neck Soft Weave Sweater with Dolman Cap Sleeves,Curve Appeal,19.989999771118164,Women,0084AE4BC24C0795D1E6A4F58444D39B,8
111879,18145,2024-07-31 04:39:02 UTC,2024-08-03 01:53:02 UTC,33.17924888541735,Active,Carhartt Mens Heavyweight Hooded Sweatshirt,Carhartt,79.94999694824217,Men,74DF7F44A49A4CEAEE2A955BD1E9D705,3
321995,13955,2021-05-14 02:21:00 UTC,,6.912000000476837,Accessories,Touchpoint Women's Basic Fleece Touchpoint Glove,Touchpoint,16.0,Women,1AD31A8FD663D63F490BDE6093821C7A,2
463691,12550,2023-08-23 04:19:00 UTC,,6.343480073564201,Intimates,Pure Style Girlfriends Women's Stay Put Fashion Tape,PURE STYLE Girlfriends,11.090000152587892,Women,A72DDDF884C1FD3602200E6EFFAC1BB7,8
404113,20665,2022-12-15 13:23:24 UTC,2023-01-21 10:51:24 UTC,34.67422095495716,Jeans,Wrangler Rugged Wear Men's Woodland Thermal Jean,Wrangler,59.9900016784668,Men,812E04D672A47F50B58835DA9F6E1D46,7
93433,12383,2024-03-27 18:59:33 UTC,2024-04-22 21:29:33 UTC,18.083219709477127,Intimates,Nightdress,Coquette,36.97999954223633,Women,47E03D48D5F53F03563DAA7F1373FB09,2
80341,28478,2024-04-25 14:58:00 UTC,2024-05-02 16:12:00 UTC,8.420999969705008,Accessories,Carhartt Men's Series 1889 Knit Scarf,Carhartt,21.0,Men,B29D8617D91303DB3E1E5FB653CA0A89,3
